,Year,DayOfYear,WeekOfYear,DateTime,distanceMeters,totalTimeSeconds
447,2022,1,1,2022-01-01T17:26,4593,2183
238,2022,2,1,2022-01-02T09:34,8075,2878
738,2022,3,1,2022-01-03T09:08,6463,2278
976,2022,4,1,2022-01-04T16:59,8068,2928
844,2022,5,1,2022-01-05T17:20,7645,2892
556,2022,6,1,2022-01-06T18:45,2423,1089
489,2022,7,1,2022-01-07T18:47,2693,1380
401,2022,8,2,2022-01-08T17:09,8097,2855
1150,2022,9,2,2022-01-09T17:49,4162,1915
344,2022,10,2,2022-01-10T09:41,6000,2273
388,2022,11,2,2022-01-11T16:14,8065,3153
355,2022,12,2,2022-01-12T16:43,8096,2956
586,2022,13,2,2022-01-13T16:38,8090,2995
330,2022,14,2,2022-01-14T16:37,8509,3022
26,2022,15,3,2022-01-15T10:08,9727,3431
94,2022,16,3,2022-01-16T16:13,9106,4438
505,2022,17,3,2022-01-17T16:51,8183,2895
580,2022,18,3,2022-01-18T16:00,8191,2940
1000,2022,19,3,2022-01-19T16:41,9716,3509
769,2022,20,3,2022-01-20T16:35,9694,4796
893,2022,21,3,2022-01-21T10:35,7227,2649
630,2022,22,4,2022-01-22T18:28,4850,2261
610,2022,23,4,2022-01-23T07:19,5000,2207
541,2022,24,4,2022-01-24T13:56,2569,1094
601,2022,25,4,2022-01-25T04:25,4828,2411
850,2022,26,4,2022-01-26T16:55,4123,1881
928,2022,27,4,2022-01-27T17:01,3124,1281
1029,2022,28,4,2022-01-28T16:40,6518,2701
606,2022,29,5,2022-01-29T16:10,7000,2636
1234,2022,30,5,2022-01-30T06:45,2903,1094
155,2022,31,5,2022-01-31T16:10,9667,4112
752,2022,32,5,2022-02-01T15:02,9666,4484
213,2022,33,5,2022-02-02T09:50,3244,1400
1022,2022,34,5,2022-02-03T16:00,4753,2321
122,2022,35,5,2022-02-04T09:39,4850,2084
334,2022,36,6,2022-02-05T22:31,2844,1499
659,2022,37,6,2022-02-06T08:09,2696,1911
64,2022,38,6,2022-02-07T17:26,5776,2178
11,2022,39,6,2022-02-08T10:26,6803,2838
129,2022,40,6,2022-02-09T17:59,4349,1957
483,2022,41,6,2022-02-10T17:48,7017,2962
345,2022,42,6,2022-02-11T19:10,3436,1552
877,2022,43,7,2022-02-12T18:04,4892,2301
728,2022,44,7,2022-02-13T16:37,6501,2957
885,2022,45,7,2022-02-14T16:54,8203,2939
834,2022,46,7,2022-02-15T17:22,2809,4616
871,2022,47,7,2022-02-16T17:22,8080,2960
947,2022,48,7,2022-02-17T20:06,3259,1611
688,2022,49,7,2022-02-18T17:55,3420,1397
1052,2022,50,8,2022-02-19T17:42,8125,3089
