,DayOfYear,distanceMeters_x,totalTimeSeconds_x,Year_x,WeekOfYear_x,DateTime_x,Weight
0,1,4593,2183,2022,1,2022-01-01T17:26,189.9
1,2,8075,2878,2022,1,2022-01-02T09:34,188.9
2,3,6463,2278,2022,1,2022-01-03T09:08,189.1
3,4,8068,2928,2022,1,2022-01-04T16:59,189.9
4,5,7645,2892,2022,1,2022-01-05T17:20,190.2
5,6,2423,1089,2022,1,2022-01-06T18:45,190.0
6,7,2693,1380,2022,1,2022-01-07T18:47,189.4
7,8,8097,2855,2022,2,2022-01-08T17:09,188.1
8,9,4162,1915,2022,2,2022-01-09T17:49,188.7
9,10,6000,2273,2022,2,2022-01-10T09:41,187.7
10,11,8065,3153,2022,2,2022-01-11T16:14,188.1
11,12,8096,2956,2022,2,2022-01-12T16:43,187.7
12,13,8090,2995,2022,2,2022-01-13T16:38,187.4
13,14,8509,3022,2022,2,2022-01-14T16:37,187.4
14,15,9727,3431,2022,3,2022-01-15T10:08,186.5
15,16,9106,4438,2022,3,2022-01-16T16:13,188.5
16,17,8183,2895,2022,3,2022-01-17T16:51,187.6
17,18,8191,2940,2022,3,2022-01-18T16:00,187.1
18,19,9716,3509,2022,3,2022-01-19T16:41,186.8
19,20,9694,4796,2022,3,2022-01-20T16:35,188.0
20,21,7227,2649,2022,3,2022-01-21T10:35,186.6
21,22,4850,2261,2022,4,2022-01-22T18:28,186.88235294117646
22,23,5000,2207,2022,4,2022-01-23T07:19,187.16470588235293
23,24,2569,1094,2022,4,2022-01-24T13:56,187.4470588235294
24,25,4828,2411,2022,4,2022-01-25T04:25,187.72941176470587
25,26,4123,1881,2022,4,2022-01-26T16:55,188.01176470588234
26,27,3124,1281,2022,4,2022-01-27T17:01,188.2941176470588
27,28,6518,2701,2022,4,2022-01-28T16:40,188.57647058823528
28,29,7000,2636,2022,5,2022-01-29T16:10,188.85882352941175
29,30,2903,1094,2022,5,2022-01-30T06:45,189.14117647058825
30,31,9667,4112,2022,5,2022-01-31T16:10,189.42352941176472
31,32,9666,4484,2022,5,2022-02-01T15:02,189.7058823529412
32,33,3244,1400,2022,5,2022-02-02T09:50,189.98823529411766
33,34,9506,4642,2022,5,2022-02-03T16:00,190.27058823529413
34,35,4850,2084,2022,5,2022-02-04T09:39,190.5529411764706
35,36,2844,1499,2022,6,2022-02-05T22:31,190.83529411764707
36,37,2696,1911,2022,6,2022-02-06T08:09,191.11764705882354
37,38,5776,2178,2022,6,2022-02-07T17:26,191.4
38,39,6803,2838,2022,6,2022-02-08T10:26,189.7
39,40,4349,1957,2022,6,2022-02-09T17:59,190.9
40,41,7017,2962,2022,6,2022-02-10T17:48,189.2
41,42,3436,1552,2022,6,2022-02-11T19:10,189.4
42,43,4892,2301,2022,7,2022-02-12T18:04,189.6
43,44,6501,2957,2022,7,2022-02-13T16:37,190.0
44,45,8203,2939,2022,7,2022-02-14T16:54,188.6
45,46,5618,9232,2022,7,2022-02-15T17:22,188.9
46,47,8080,2960,2022,7,2022-02-16T17:22,187.2
47,48,6518,3222,2022,7,2022-02-17T20:06,187.35
48,49,3420,1397,2022,7,2022-02-18T17:55,187.5
49,50,8125,3089,2022,8,2022-02-19T17:42,185.8
50,51,8114,2890,2022,8,2022-02-20T17:33,186.4
51,52,8084,2971,2022,8,2022-02-21T17:25,186.4
52,53,3239,1474,2022,8,2022-02-22T23:10,187.06
53,54,8103,3708,2022,8,2022-02-23T08:57,187.72
54,55,8168,2993,2022,8,2022-02-24T08:45,188.38
55,56,6604,2456,2022,8,2022-02-25T08:49,189.04
56,57,8073,2814,2022,9,2022-02-26T17:45,189.7
57,58,8067,2711,2022,9,2022-02-27T17:22,187.4
58,59,8074,2856,2022,9,2022-02-28T17:33,187.3
59,60,8084,2887,2022,9,2022-03-01T09:50,186.4
60,61,6509,2377,2022,9,2022-03-02T17:30,188.6
61,62,8069,2992,2022,9,2022-03-03T09:14,186.4
62,63,3318,1224,2022,9,2022-03-04T17:28,187.2
63,64,8096,2824,2022,10,2022-03-05T18:15,188.1
64,65,8121,2829,2022,10,2022-03-06T17:22,187.7
65,66,9718,3350,2022,10,2022-03-07T17:29,185.7
66,67,8202,2851,2022,10,2022-03-08T17:48,187.0
67,68,8096,2899,2022,10,2022-03-09T07:55,185.4
68,69,8442,4083,2022,10,2022-03-10T17:21,183.9
69,70,4672,2226,2022,10,2022-03-11T20:08,185.9
70,71,8136,3440,2022,11,2022-03-12T17:56,183.5
71,72,8617,3620,2022,11,2022-03-13T17:48,183.1
72,73,8610,3659,2022,11,2022-03-14T18:17,182.9
73,74,8817,3685,2022,11,2022-03-15T16:00,182.7
74,75,8928,3704,2022,11,2022-03-16T17:37,182.6
75,76,12445,5237,2022,11,2022-03-17T12:21,182.6
76,77,8632,3617,2022,11,2022-03-18T15:48,182.9
77,78,10194,4682,2022,12,2022-03-19T12:44,181.7
78,79,11520,4208,2022,12,2022-03-20T07:40,180.9
79,80,3227,1408,2022,12,2022-03-21T19:05,181.20625
80,81,8463,3650,2022,12,2022-03-22T07:58,181.51250000000002
81,82,5632,2371,2022,12,2022-03-23T08:32,181.81875
82,83,4857,2128,2022,12,2022-03-24T08:29,182.125
83,84,6688,2816,2022,12,2022-03-25T16:41,182.43125
84,85,6746,3140,2022,13,2022-03-26T17:08,182.7375
85,86,5260,2700,2022,13,2022-03-27T17:58,183.04375000000002
86,87,6872,3517,2022,13,2022-03-28T16:43,183.35000000000002
87,88,4377,1973,2022,13,2022-03-29T18:09,183.65625
88,89,4386,2016,2022,13,2022-03-30T16:41,183.9625
89,90,3632,1676,2022,13,2022-03-31T06:34,184.26875
90,91,4869,2350,2022,13,2022-04-01T08:46,184.57500000000002
91,92,3655,1631,2022,14,2022-04-02T07:08,184.88125000000002
92,93,1634,725,2022,14,2022-04-03T17:27,185.1875
93,94,8680,3734,2022,14,2022-04-04T18:00,185.49375
94,95,7000,3048,2022,14,2022-04-05T18:12,185.8
95,96,8226,3645,2022,14,2022-04-06T16:08,185.7
96,97,8506,4562,2022,14,2022-04-07T15:53,185.5
97,98,8502,3905,2022,14,2022-04-08T17:32,185.4
98,99,7881,3657,2022,15,2022-04-09T16:42,183.7
99,100,8504,4036,2022,15,2022-04-10T17:43,185.1
100,101,8059,3653,2022,15,2022-04-11T17:03,183.9
101,102,7082,3119,2022,15,2022-04-12T17:56,183.9
102,103,8625,3824,2022,15,2022-04-13T17:34,184.9
103,104,8500,4719,2022,15,2022-04-14T17:02,182.8
104,105,7639,3789,2022,15,2022-04-15T17:34,184.3
105,106,538,265,2022,16,2022-04-16T07:49,181.9
106,107,5227,2579,2022,16,2022-04-17T15:33,184.2
107,108,5154,2361,2022,16,2022-04-18T18:17,186.5
108,109,7574,3614,2022,16,2022-04-19T18:10,185.4
109,110,9703,4438,2022,16,2022-04-20T19:13,187.3
110,111,9814,4368,2022,16,2022-04-21T17:25,185.2
111,112,9667,4510,2022,16,2022-04-22T16:45,183.7
112,113,9714,4883,2022,17,2022-04-23T16:41,182.9
113,114,9760,4587,2022,17,2022-04-24T15:37,182.7
114,115,6549,3029,2022,17,2022-04-25T18:00,185.1
115,116,10217,4564,2022,17,2022-04-26T10:53,184.2
116,117,9832,4536,2022,17,2022-04-27T17:07,185.6
117,118,10026,4377,2022,17,2022-04-28T18:06,183.3
118,119,9814,4441,2022,17,2022-04-29T16:42,183.9
119,120,8730,4039,2022,18,2022-04-30T17:32,183.2
120,121,5840,2561,2022,18,2022-05-01T09:46,183.4
121,122,10082,5014,2022,18,2022-05-02T06:22,183.56666666666666
122,123,3632,1717,2022,18,2022-05-03T17:39,183.73333333333335
123,124,11820,5210,2022,18,2022-05-04T15:28,183.9
124,125,8067,3685,2022,18,2022-05-05T16:12,183.5
125,126,8273,3735,2022,18,2022-05-06T17:01,181.8
126,127,8096,3755,2022,19,2022-05-07T16:37,182.3
127,128,10057,4416,2022,19,2022-05-08T16:22,181.3
128,129,6601,2903,2022,19,2022-05-09T18:41,183.3
129,130,4043,1889,2022,19,2022-05-10T07:28,183.47500000000002
130,131,9833,4448,2022,19,2022-05-11T15:14,183.65
131,132,5000,2186,2022,19,2022-05-12T18:57,183.825
132,133,8076,3739,2022,19,2022-05-13T17:56,184.0
133,134,6339,2872,2022,20,2022-05-14T16:21,183.0
134,135,3280,1395,2022,20,2022-05-15T10:33,182.2
135,136,3351,1647,2022,20,2022-05-16T06:41,183.43333333333334
136,137,4083,3186,2022,20,2022-05-17T17:11,184.66666666666666
137,138,5014,2555,2022,20,2022-05-18T17:16,185.9
138,139,6595,3365,2022,20,2022-05-19T17:28,184.3
139,140,8065,3698,2022,20,2022-05-20T16:58,183.6
140,141,4303,2094,2022,21,2022-05-21T17:14,181.4
141,142,3419,1601,2022,21,2022-05-22T18:24,184.7
142,143,3227,1411,2022,21,2022-05-23T21:24,184.72
143,144,4124,2045,2022,21,2022-05-24T07:17,184.73999999999998
144,145,6000,2583,2022,21,2022-05-25T06:52,184.76
145,146,9705,3412,2022,21,2022-05-26T09:23,184.78
146,147,9533,3494,2022,21,2022-05-27T12:00,184.79999999999998
147,148,9906,3528,2022,22,2022-05-28T12:23,184.82
148,149,11341,4067,2022,22,2022-05-29T11:59,184.84
149,150,11696,4311,2022,22,2022-05-30T10:28,184.86
150,151,4426,7711,2022,22,2022-05-31T19:26,184.88
151,152,8210,2929,2022,22,2022-06-01T07:07,184.9
152,153,7052,2935,2022,22,2022-06-02T05:57,185.8
153,154,6309,2909,2022,22,2022-06-03T17:33,184.2
154,155,8378,3951,2022,23,2022-06-04T17:32,184.4
155,156,7038,2560,2022,23,2022-06-05T06:28,184.5
156,157,3606,1662,2022,23,2022-06-06T06:47,185.05
157,158,12056,4958,2022,23,2022-06-07T17:26,185.6
158,159,10829,4176,2022,23,2022-06-08T06:39,183.7
159,160,6284,2260,2022,23,2022-06-09T05:54,182.9
160,161,5152,6389,2022,23,2022-06-10T06:45,182.1
161,162,8565,3968,2022,24,2022-06-11T11:19,183.93333333333334
162,163,7674,3942,2022,24,2022-06-12T17:22,185.76666666666665
163,164,6869,3094,2022,24,2022-06-13T17:42,187.6
164,165,11455,4380,2022,24,2022-06-14T05:56,185.3
165,166,5262,2449,2022,24,2022-06-15T17:55,186.4
166,167,6519,2581,2022,24,2022-06-16T17:28,185.4
167,168,726,773,2022,24,2022-06-17T13:39,185.55555555555557
168,169,3456,2302,2022,25,2022-06-18T13:51,185.7111111111111
169,170,875,684,2022,25,2022-06-19T11:50,185.86666666666667
170,171,2763,2103,2022,25,2022-06-20T07:46,186.02222222222224
171,172,1478,1714,2022,25,2022-06-21T15:57,186.17777777777778
172,173,1719,1367,2022,25,2022-06-22T13:28,186.33333333333334
173,174,2408,1750,2022,25,2022-06-23T21:50,186.4888888888889
174,175,2000,1238,2022,25,2022-06-24T21:23,186.64444444444445
175,176,4547,2461,2022,26,2022-06-25T21:05,186.8
176,177,6268,3004,2022,26,2022-06-26T16:42,185.7
177,178,5175,2440,2022,26,2022-06-27T18:23,185.1
178,179,4828,2275,2022,26,2022-06-28T17:18,184.8
179,180,6568,3383,2022,26,2022-06-29T16:13,184.5
180,181,4906,1815,2022,26,2022-06-30T07:10,184.5
181,182,4854,1787,2022,26,2022-07-01T07:24,185.2
182,183,8202,2982,2022,27,2022-07-02T07:06,183.2
183,184,9667,3991,2022,27,2022-07-03T07:22,182.1
184,185,6480,2299,2022,27,2022-07-04T06:59,183.9
185,186,5940,2422,2022,27,2022-07-05T07:12,183.7
186,187,9678,3937,2022,27,2022-07-06T07:12,182.4
187,188,9675,3930,2022,27,2022-07-07T06:50,183.1
188,189,9674,3711,2022,27,2022-07-08T06:48,184.0
189,190,11281,4427,2022,28,2022-07-09T06:08,183.9
190,191,12882,5437,2022,28,2022-07-10T06:41,181.9
191,192,9682,3809,2022,28,2022-07-11T06:21,182.1
192,193,8822,4181,2022,28,2022-07-12T07:49,182.6
193,194,8167,3207,2022,28,2022-07-13T07:21,182.8
194,195,8909,3963,2022,28,2022-07-14T07:20,184.4
195,196,3687,1283,2022,28,2022-07-15T22:04,184.65714285714287
196,197,5365,1784,2022,29,2022-07-16T11:00,184.9142857142857
197,198,22027,7906,2022,29,2022-07-17T10:15,185.17142857142858
198,199,3250,1058,2022,29,2022-07-18T10:14,185.42857142857142
199,200,2725,1231,2022,29,2022-07-19T21:15,185.68571428571428
200,201,7079,3120,2022,29,2022-07-20T17:06,185.94285714285712
201,202,8074,2749,2022,29,2022-07-21T07:08,186.2
202,203,6468,2161,2022,29,2022-07-22T07:04,185.8
203,204,8085,2672,2022,30,2022-07-23T06:01,185.0
204,205,6903,3056,2022,30,2022-07-24T15:29,185.48
205,206,2850,1320,2022,30,2022-07-25T06:38,185.96
206,207,4100,1514,2022,30,2022-07-26T06:34,186.44
207,208,5539,2620,2022,30,2022-07-27T17:40,186.92000000000002
208,209,8085,2783,2022,30,2022-07-28T05:41,187.4
209,210,4855,1697,2022,30,2022-07-29T07:09,186.5
210,211,5947,2615,2022,31,2022-07-30T17:27,186.45
211,212,6312,2833,2022,31,2022-07-31T17:32,186.4
212,213,5375,2294,2022,31,2022-08-01T17:54,186.55
213,214,6581,2353,2022,31,2022-08-02T06:32,186.7
214,215,8523,3463,2022,31,2022-08-03T07:01,185.2
215,216,8100,2900,2022,31,2022-08-04T05:41,185.0
216,217,3868,1795,2022,31,2022-08-05T17:35,184.6
217,218,11290,4279,2022,32,2022-08-06T06:06,181.9
218,219,3854,1460,2022,32,2022-08-07T06:50,182.9
219,220,2544,1024,2022,32,2022-08-08T18:20,183.9
220,221,8076,2976,2022,32,2022-08-09T05:40,184.9
221,222,8502,3617,2022,32,2022-08-10T06:59,185.9
222,223,9703,3483,2022,32,2022-08-11T05:49,184.6
223,224,5344,2190,2022,32,2022-08-12T17:53,184.25
224,225,3463,1367,2022,33,2022-08-13T19:16,183.9
225,226,6319,2922,2022,33,2022-08-14T12:26,184.95
226,227,8350,4035,2022,33,2022-08-15T16:42,186.0
227,228,8921,4059,2022,33,2022-08-16T16:12,186.6
228,229,10588,4560,2022,33,2022-08-17T16:47,186.2
229,230,8833,3764,2022,33,2022-08-18T15:27,184.9
230,231,4234,1842,2022,33,2022-08-19T17:14,184.7
231,232,5178,1994,2022,34,2022-08-20T07:10,182.0
232,233,1632,612,2022,34,2022-08-21T08:45,183.075
233,234,5000,2014,2022,34,2022-08-22T21:33,184.15
234,235,1772,752,2022,34,2022-08-23T22:39,185.225
235,236,2830,1032,2022,34,2022-08-24T11:01,186.3
236,237,2412,978,2022,34,2022-08-25T23:54,187.375
237,238,1645,541,2022,34,2022-08-26T09:23,188.45
238,239,5291,2261,2022,35,2022-08-27T08:45,189.525
239,240,6323,2507,2022,35,2022-08-28T17:49,190.6
240,241,4755,1721,2022,35,2022-08-29T07:00,189.3
241,242,5266,2057,2022,35,2022-08-30T07:13,188.6
242,243,6509,2476,2022,35,2022-08-31T07:26,187.5
243,244,6678,2487,2022,35,2022-09-01T06:00,186.7
244,245,6467,2418,2022,35,2022-09-02T06:32,187.2
245,246,12218,4710,2022,36,2022-09-03T06:09,186.7
246,247,10838,4688,2022,36,2022-09-04T06:55,186.1
247,248,11030,4700,2022,36,2022-09-05T06:38,185.5
248,249,6479,2371,2022,36,2022-09-06T06:22,185.6
249,250,5000,1993,2022,36,2022-09-07T06:28,187.5
250,251,6469,2411,2022,36,2022-09-08T06:08,188.2
251,252,3035,1347,2022,36,2022-09-09T08:02,188.9
252,253,5620,1811,2022,37,2022-09-10T06:45,187.5
253,254,5670,2662,2022,37,2022-09-11T16:07,188.6
254,255,8082,2975,2022,37,2022-09-12T06:48,187.2
255,256,8069,3117,2022,37,2022-09-13T05:54,186.7
256,257,8053,3090,2022,37,2022-09-14T07:12,186.4
257,258,8074,3010,2022,37,2022-09-15T06:35,188.4
258,259,6448,2340,2022,37,2022-09-16T06:50,186.2
259,260,1802,878,2022,38,2022-09-17T06:32,188.5
260,261,1661,673,2022,38,2022-09-18T07:47,190.79999999999998
261,262,6387,3324,2022,38,2022-09-19T17:28,193.1
262,263,8358,3187,2022,38,2022-09-20T05:57,190.4
263,264,5633,2897,2022,38,2022-09-21T17:19,189.5
264,265,8796,3239,2022,38,2022-09-22T05:57,188.6
265,266,5363,2537,2022,38,2022-09-23T14:38,187.8
