DayOfYear,distanceMeters,totalTimeSeconds,Year,WeekOfYear_x,DateTime,Date,DistanceWeek,DistanceWeekKilometers,SecondsWeek,MinutesWeek,Weight,WeightChangeWeek,WeightStartWeek
1,4593,2183,2022,1,2022-01-01T17:26,2022-01-01,,,,,189.9,,189.9
2,8075,2878,2022,1,2022-01-02T09:34,2022-01-02,,,,,188.9,,
3,6463,2278,2022,1,2022-01-03T09:08,2022-01-03,,,,,189.1,,
4,8068,2928,2022,1,2022-01-04T16:59,2022-01-04,,,,,189.9,,
5,7645,2892,2022,1,2022-01-05T17:20,2022-01-05,,,,,190.2,,
6,2423,1089,2022,1,2022-01-06T18:45,2022-01-06,,,,,190.0,,
7,2693,1380,2022,1,2022-01-07T18:47,2022-01-07,39960,39.96,15628,260.47,189.4,-1.8,188.1
8,8097,2855,2022,2,2022-01-08T17:09,2022-01-08,,,,,188.1,,
9,4162,1915,2022,2,2022-01-09T17:49,2022-01-09,,,,,188.7,,
10,6000,2273,2022,2,2022-01-10T09:41,2022-01-10,,,,,187.7,,
11,8065,3153,2022,2,2022-01-11T16:14,2022-01-11,,,,,188.1,,
12,8096,2956,2022,2,2022-01-12T16:43,2022-01-12,,,,,187.7,,
13,8090,2995,2022,2,2022-01-13T16:38,2022-01-13,,,,,187.4,,
14,8509,3022,2022,2,2022-01-14T16:37,2022-01-14,51019,51.02,19169,319.48,187.4,-1.6,186.5
15,9727,3431,2022,3,2022-01-15T10:08,2022-01-15,,,,,186.5,,
16,9106,4438,2022,3,2022-01-16T16:13,2022-01-16,,,,,188.5,,
17,8183,2895,2022,3,2022-01-17T16:51,2022-01-17,,,,,187.6,,
18,8191,2940,2022,3,2022-01-18T16:00,2022-01-18,,,,,187.1,,
19,9716,3509,2022,3,2022-01-19T16:41,2022-01-19,,,,,186.8,,
20,9694,4796,2022,3,2022-01-20T16:35,2022-01-20,,,,,188.0,,
21,7227,2649,2022,3,2022-01-21T10:35,2022-01-21,61844,61.84,24658,410.97,186.6,0.4,186.9
22,4850,2261,2022,4,2022-01-22T18:28,2022-01-22,,,,,186.9,,
23,5000,2207,2022,4,2022-01-23T07:19,2022-01-23,,,,,187.2,,
24,2569,1094,2022,4,2022-01-24T13:56,2022-01-24,,,,,187.4,,
25,4828,2411,2022,4,2022-01-25T04:25,2022-01-25,,,,,187.7,,
26,4123,1881,2022,4,2022-01-26T16:55,2022-01-26,,,,,188.0,,
27,3124,1281,2022,4,2022-01-27T17:01,2022-01-27,,,,,188.3,,
28,6518,2701,2022,4,2022-01-28T16:40,2022-01-28,31012,31.01,13836,230.60,188.6,2.0,188.9
29,7000,2636,2022,5,2022-01-29T16:10,2022-01-29,,,,,188.9,,
30,2903,1094,2022,5,2022-01-30T06:45,2022-01-30,,,,,189.1,,
31,9667,4112,2022,5,2022-01-31T16:10,2022-01-31,,,,,189.4,,
32,9666,4484,2022,5,2022-02-01T15:02,2022-02-01,,,,,189.7,,
33,3244,1400,2022,5,2022-02-02T09:50,2022-02-02,,,,,190.0,,
34,9506,4642,2022,5,2022-02-03T16:00,2022-02-03,,,,,190.3,,
35,4850,2084,2022,5,2022-02-04T09:39,2022-02-04,46836,46.84,20452,340.87,190.6,2.0,190.8
36,2844,1499,2022,6,2022-02-05T22:31,2022-02-05,,,,,190.8,,
