,Year_x,WeekOfYear_x,DateTime_x,DistanceWeek,SecondsWeek,WeightWeek
6,2022,1,2022-01-07T18:47,39960,15628,-1.8
13,2022,2,2022-01-14T16:37,51019,19169,-1.6
20,2022,3,2022-01-21T10:35,61844,24658,0.382352941176
27,2022,4,2022-01-28T16:40,31012,13836,1.97647058823600
34,2022,5,2022-02-04T09:39,46836,20452,1.97647058823500
41,2022,6,2022-02-11T19:10,32921,14897,-1.235294117647
48,2022,7,2022-02-18T17:55,43232,25008,-3.8
55,2022,8,2022-02-25T08:49,50437,19581,3.9
62,2022,9,2022-03-04T17:28,50194,17861,-1.6
69,2022,10,2022-03-11T20:08,55347,21062,-4.6
76,2022,11,2022-03-18T15:48,64185,26962,-1.8
83,2022,12,2022-03-25T16:41,50581,21263,1.0375
90,2022,13,2022-04-01T08:46,36142,17372,2.14375
97,2022,14,2022-04-08T17:32,46203,21250,-1.18125
104,2022,15,2022-04-15T17:34,56290,26797,-1.8
111,2022,16,2022-04-22T16:45,47677,22135,1.0
118,2022,17,2022-04-29T16:42,65912,30417,0.3
125,2022,18,2022-05-06T17:01,56444,25961,-0.9
132,2022,19,2022-05-13T17:56,51706,23336,0.7
139,2022,20,2022-05-20T16:58,36727,18718,-1.6
146,2022,21,2022-05-27T12:00,40311,16640,3.42
153,2022,22,2022-06-03T17:33,58940,28390,-0.42
160,2022,23,2022-06-10T06:45,53343,25956,-0.466666666667
167,2022,24,2022-06-17T13:39,47070,21187,1.777777777778
174,2022,25,2022-06-24T21:23,14699,11158,1.088888888889
181,2022,26,2022-07-01T07:24,37146,17165,-3.6
188,2022,27,2022-07-08T06:48,59316,23272,0.7
195,2022,28,2022-07-15T22:04,63430,26307,1.014285714286
202,2022,29,2022-07-22T07:04,54988,20009,0.085714285714
209,2022,30,2022-07-29T07:09,40417,15662,1.45
216,2022,31,2022-08-05T17:35,44706,18253,-4.55
223,2022,32,2022-08-12T17:53,49313,19029,2.0
230,2022,33,2022-08-19T17:14,50708,22549,-1.9
237,2022,34,2022-08-26T09:23,20469,7923,7.525
244,2022,35,2022-09-02T06:32,41289,15927,-2.825
251,2022,36,2022-09-09T08:02,55069,22220,0.8
258,2022,37,2022-09-16T06:50,50016,19005,1.0
265,2022,38,2022-09-23T14:38,38000,16735,-3.4
272,2022,39,2022-09-30T08:33,42526,18721,2.1
279,2022,40,2022-10-07T08:32,52034,19520,-2.3
286,2022,41,2022-10-14T09:07,45693,18632,0.775
293,2022,42,2022-10-21T16:51,39093,15158,0.125
300,2022,43,2022-10-28T17:08,52292,21353,-2.3
307,2022,44,2022-11-04T08:25,47471,19154,-0.4
314,2022,45,2022-11-11T16:29,45211,19927,0.7
321,2022,46,2022-11-18T16:30,51572,20040,0.938461538462
328,2022,47,2022-11-25T07:58,27570,12957,4.52307692307600
335,2022,48,2022-12-02T09:02,44737,20743,-1.361538461538
342,2022,49,2022-12-09T07:44,52007,20444,-1.0
349,2022,50,2022-12-16T13:18,56560,21969,-0.3
356,2022,51,2022-12-23T14:58,60652,23917,-1.3
363,2022,52,2022-12-30T06:09,38353,17210,0.9
